crop_sites,SOC,total_N,microbial_C_pool,non_protected-C pool,protected-C_pool,soil_passive_C_pool,root_C,root_N,SOC_delta,microbial_C_pool_delta,non_protected_C_pool_delta,protected_C_pool_delta,soil_passive_C_pool_delta,leaf_litter_metabolic_C_delta,root_litter_metabolic_C_delta,wood_litter_metabolic_C_delta,leaf_litter_structure_C_delta,root_litter_structure_C_delta,wood_litter_structure_C_delta,leaf_litter_lignin_C_delta,root_litter_lignin_C_delta,wood_litter_lignin_C_delta
C2_1,21.08594036,1.758014313,0.16552363,0.931543744,8.391605788,11.5972672,0.173106,0.00803649,-16.95792803,-11.75646851,-14.48968481,-17.27637974,-17,-12,-12,-12,-12,-12,-12,-12,-12,-12
C2_2,19.93839349,1.746159135,0.156515442,0.880846925,7.934914704,10.96611642,0.173106,0.00803649,-16.98052327,-14.68938781,-16.85739535,-17.01246701,-17,-12,-12,-12,-12,-12,-12,-12,-12,-12
C2_3,20.06665208,1.571183176,0.157522266,0.886513188,7.985957984,11.03665865,0.173106,0.00803649,-17.71511324,-12.67781376,-16.10794097,-18.98117636,-17,-12,-12,-12,-12,-12,-12,-12,-12,-12
C2_4,18.28188595,1.512954946,0.143511936,0.807665023,7.275671721,10.05503728,0.173106,0.00803649,-16.90160368,-15.90763861,-16.55125894,-16.82411646,-17,-12,-12,-12,-12,-12,-12,-12,-12,-12
S2_1,18.51473325,1.597043935,0.145339776,0.817951851,7.368338336,10.18310329,0.06201646,0.003056504,-17.24804333,-16.471909,-15.16622275,-17.83725122,-17,-28,-26,-28,-28,-26,-28,-28,-26,-28
S2_2,22.84019944,1.927528717,0.179294481,1.009044157,9.08975111,12.56210969,0.06201646,0.003056504,-17.06782075,-16.59634526,-16.82652533,-17.19763536,-17,-28,-26,-28,-28,-26,-28,-28,-26,-28
S2_3,26.25421005,2.140631985,0.206094302,1.159869786,10.44843043,14.43981553,0.06201646,0.003056504,-20.30185978,-19.85485022,-18.08566939,-25.11989105,-17,-28,-26,-28,-28,-26,-28,-28,-26,-28
S2_4,18.86621708,1.596850737,0.148098908,0.833479854,7.508218922,10.37641939,0.06201646,0.003056504,-17.94219391,-19.80002643,-18.10109856,-19.1900281,-17,-28,-26,-28,-28,-26,-28,-28,-26,-28
C3_1,15.10679628,1.320257403,0.126523215,0.717516412,5.954018701,8.308737956,0.17725939,0.008381059,-18.47510618,-16.71909102,-19.54401994,-20.44209433,-17,-12,-12,-12,-12,-12,-12,-12,-12,-12
C3_2,18.78496445,1.610389011,0.157328797,0.892215664,7.403689539,10.33173044,0.17725939,0.008381059,-17.68770913,-16.31848961,-19.3915124,-18.47116756,-17,-12,-12,-12,-12,-12,-12,-12,-12,-12
