Site,rotation,litter,POM,MAOM
C2_1,2,0.175110557,-0.195898375,0.018333572
C2_2,2,0.174676133,-0.014402379,-0.051300661
C2_3,2,0.17492348,-0.02058856,-0.024153584
S2_4,2,-0.851893152,0.192751514,0.053890048
C3_1,3,0.197132023,0.011124069,0.865891355
C3_3,3,0.198863397,0.016481116,0.03335963
S3_3,3,-0.781295413,0.124629954,-0.219452285
S3_2,3,-0.781333622,0.22188513,-0.00153453
O3_2,3,-0.251295944,0.334578868,0.096847074
O3_1,3,-0.251064723,-0.136085063,-0.178938403
O3_3,3,-0.250890122,0.396847717,0.02813529
O3_4,3,-0.250438422,0.238884043,1.031088063
C4_2,4,0.221668474,0.204304704,-0.072545396
S4_2,4,-0.715771597,0.216202618,0.719847007
S4_4,4,-0.716365341,0.22311838,0.240322672
S4_3,4,-0.716062172,0.108535126,-0.186585376
O4_2,4,-0.250753093,0.250722201,-0.13535407
O4_3,4,-0.251037472,0.463568979,0.037994804
O4_4,4,-0.25175953,0.130439679,0.057727025
O4_1,4,-0.250951454,0.114121944,-0.141049714
A4_4,4,0.298057912,0.045010442,-0.010016547
A4_3,4,0.298183699,0.077434689,-0.060354727
A4_2,4,0.298292868,0.361898163,1.209467713
A4_1,4,0.298322034,-0.080126998,-0.13551927
