"rotation","POM","MAOM"
2,-0.195898375,0.018333572
2,-0.014402379,-0.051300661
2,-0.02058856,-0.024153584
2,0.192751514,0.053890048
3,0.011124069,0.865891355
3,0.016481116,0.03335963
3,0.124629954,-0.219452285
3,0.22188513,-0.00153453
3,0.334578868,0.096847074
3,-0.136085063,-0.178938403
3,0.396847717,0.02813529
3,0.238884043,1.031088063
4,0.204304704,-0.072545396
4,0.216202618,0.719847007
4,0.22311838,0.240322672
4,0.108535126,-0.186585376
4,0.250722201,-0.13535407
4,0.463568979,0.037994804
4,0.130439679,0.057727025
4,0.114121944,-0.141049714
4,0.045010442,-0.010016547
4,0.077434689,-0.060354727
4,0.361898163,1.209467713
4,-0.080126998,-0.13551927
